mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
process,0,44,0.0,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.0625,0.9376005530357361,0.22356955707073212,0.12778238952159882,0.2185307741165161,0.04339038208127022,0.23431037366390228,1.0,nan,0.0625,,,,,,,,,,,,
outcome,0,44,0.0,0.0,direct answer conditioned on COLON,0.22593514621257782,0.125,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,0,44,0.0,0.0,direct answer conditioned on COLON,0.22593514621257782,0.125,gold-prefix trace readout; conditioned on valid state token,0.0625,0.9376005530357361,0.22356955707073212,0.12778238952159882,0.2185307741165161,0.04339038208127022,0.23431037366390228,0.7828629016876221,0.33808407187461853,0.0625,mixed only; direct answer CE; first-step local tables,6.008581161499023,4.302275657653809,0.3605508536948435,0.9981800517867443,0.0735887736082077,0.05729005114795432,0.08167161131704455,-0.002481045096466364,0.030138636338831508,4.3701252937316895,3.302932024002075
process,100,44,0.13671875,0.05078125,after greedy trace; not a marginal over traces,0.9999252557754517,0.17499999701976776,gold-prefix trace readout; conditioned on valid state token,0.6790865659713745,0.4980201721191406,0.9993066787719727,0.7680319547653198,0.13056117296218872,1.029313325881958,0.10692068934440613,0.8337030410766602,0.8337019085884094,0.16249999403953552,,,,,,,,,,,,
outcome,100,44,0.09765625,0.09765625,direct answer conditioned on COLON,0.9967530369758606,0.10000000149011612,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,100,44,0.08203125,0.08203125,direct answer conditioned on COLON,0.9968602061271667,0.07500000298023224,gold-prefix trace readout; conditioned on valid state token,0.578125,0.6316355466842651,0.9973475337028503,0.8884293437004089,0.11764112859964371,1.0061702728271484,0.12056577950716019,0.21809442341327667,0.21697166562080383,0.125,mixed only; direct answer CE; first-step local tables,6.436233043670654,9.03361701965332,0.6635319109458802,1.0523127579919007,2.1180388927459717,0.24672729978175353,0.10338687811127477,0.015770263353696516,0.13667456080765794,2.8429317474365234,2.832935094833374
process,500,44,1.0,1.0,after greedy trace; not a marginal over traces,1.0,0.987500011920929,gold-prefix trace readout; conditioned on valid state token,1.0,0.0013067142572253942,0.999997079372406,0.9974142909049988,0.0011579935671761632,1.0179141759872437,0.008843012154102325,0.01945449598133564,0.019454490393400192,1.0,,,,,,,,,,,,
outcome,500,44,0.078125,0.078125,direct answer conditioned on COLON,0.9987961649894714,0.125,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,500,44,0.09375,0.09375,direct answer conditioned on COLON,0.9969305992126465,0.08749999850988388,gold-prefix trace readout; conditioned on valid state token,1.0,0.01804623194038868,0.9999650716781616,0.983403205871582,0.011635714210569859,1.052243709564209,0.028916779905557632,0.8275368809700012,0.8272701501846313,1.0,mixed only; direct answer CE; first-step local tables,5.67304801940918,5.4414801597595215,0.1508842882893882,1.2769404409962508,5.014267444610596,0.14891537080852468,0.09228972676265601,-0.004901780538169973,0.08082993162030433,2.681220054626465,0.27723070979118347
