depth,seed,step,credit_table_mean,credit_table_max,n_terms
2,42,0,1.961776467032888,11.442011679734561,160
2,42,100,8.877603663997236,79.03988618605938,160
2,42,500,0.983162289316127,1.6380345087753192,160
2,42,1000,0.9516511442967222,1.1570563482698994,160
2,42,2000,0.9401407118899975,0.9755488516882973,160
2,43,0,2.5428513684197562,24.106889142067846,160
2,43,100,10.228013329737482,162.383489832873,160
2,43,500,0.9846746559013996,1.62065037408431,160
2,43,1000,0.952105373359967,1.7739031490261177,160
2,43,2000,0.9606321470038083,1.6006409187619568,160
2,44,0,2.4610938453077518,18.064226134598655,160
2,44,100,7.840695403776346,86.7431054113942,160
2,44,500,1.2344969716112892,32.05274752238532,160
2,44,1000,0.9620429127941623,2.202716599132416,160
2,44,2000,0.9421467147497303,1.0910836561460227,160
2,45,0,2.829960518902512,24.52657646599635,160
2,45,100,8.192508144184792,115.58724170882103,160
2,45,500,0.9973243468449642,1.6142512220767065,160
2,45,1000,0.9496837912764203,1.454819041101894,160
2,45,2000,0.9509792303598793,2.375368477498,160
2,46,0,2.548851718045671,21.409095774989115,160
2,46,100,7.571138401854441,59.660843259305295,160
2,46,500,1.0075741508704514,2.505619881499064,160
2,46,1000,0.9462724700940252,1.0713401248458037,160
2,46,2000,0.9418149518653095,1.0215960999116422,160
4,42,0,0.7962959860182887,16.398723364049907,320
4,42,100,2.8892671666601446,35.86594316198588,320
4,42,500,0.9622782732702593,1.5339016633487093,320
4,42,1000,0.9696357757089433,2.908868505109518,320
4,42,2000,0.9513193389160289,2.5989009216949386,320
4,43,0,1.2244995324508845,40.636684582984955,320
4,43,100,3.8428484711548934,64.33800613029314,320
4,43,500,0.9621873416147333,2.017343951516953,320
4,43,1000,0.9447308295062117,1.38453809555525,320
4,43,2000,0.9457632138459496,1.5281406220414504,320
4,44,0,0.8573520491398245,15.86564338012414,320
4,44,100,3.4702663078736444,64.3923447283162,320
4,44,500,0.9530058454358658,1.3821741072681357,320
4,44,1000,0.941541690373267,1.0724361202080346,320
4,44,2000,0.9418892360839963,1.278892716685108,320
4,45,0,0.9665247004479613,17.023033878256523,320
4,45,100,2.3376778164086054,12.102456527541765,320
4,45,500,0.9677401514823789,2.2630733587676652,320
4,45,1000,0.9485655584371975,1.4174935132627493,320
4,45,2000,0.9495579216447763,1.2497465865991664,320
4,46,0,1.2802237241783108,28.77292160376626,320
4,46,100,2.966541669055264,32.11629858879926,320
4,46,500,0.9607224890717617,1.3342020454731718,320
4,46,1000,0.9423415039737438,1.0556784101371048,320
4,46,2000,0.939594527616874,1.0113208166652115,320
6,42,0,0.44343934687562575,11.130295227181575,480
6,42,100,1.157180162786287,12.297134969829,480
6,42,500,0.9458203531351874,1.0391877251529316,480
6,42,1000,0.9440860375745382,1.231932673439478,480
6,42,2000,0.9394824745110472,1.0263134571426191,480
6,43,0,0.6275819140853158,27.476232257285492,480
6,43,100,1.4199022780299737,20.569894296431723,480
6,43,500,0.9504117716389966,1.1988336943418059,480
6,43,1000,0.9418473525400093,1.0723276172350191,480
6,43,2000,0.9447222903063189,1.2032084791439992,480
6,44,0,0.6670572884632607,19.23780115300199,480
6,44,100,1.1922138502735349,11.905891965033705,480
6,44,500,0.9517363263643859,1.2005552062693792,480
6,44,1000,0.9413671880502221,1.0323089555652916,480
6,44,2000,0.9406141525988505,1.1650562274680203,480
6,45,0,0.6330150237529166,14.740657101263634,480
6,45,100,1.518845409784169,22.67551870835585,480
6,45,500,0.9532269223276061,1.7232741875337232,480
6,45,1000,0.9452392058464784,1.3640779518375261,480
6,45,2000,0.9402465577679961,1.1008125649938532,480
6,46,0,0.6612892848835823,20.228757898344103,480
6,46,100,1.3747358607519895,14.98125231111265,480
6,46,500,0.9460833635239176,1.0503730909164113,480
6,46,1000,0.9403778672387557,1.0127685961536053,480
6,46,2000,0.9396807835989608,1.011750856625374,480
