depth,mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
2,process,0,42,0.00390625,0.0,after greedy trace; not a marginal over traces,0.008329757489264011,0.0,gold-prefix trace readout; conditioned on valid state token,0.05528846010565758,0.9379198551177979,0.20856015384197235,0.11545554548501968,0.15395958721637726,0.06387553364038467,0.2892869710922241,0.9921115040779114,0.38004860281944275,0.07500000298023224,,,,,,,,,,,,
2,outcome,0,42,0.0,0.0,direct answer conditioned on COLON,0.23426726460456848,0.03750000149011612,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
2,both,0,42,0.00390625,0.0,direct answer conditioned on COLON,0.23426726460456848,0.03750000149011612,gold-prefix trace readout; conditioned on valid state token,0.05528846010565758,0.9379198551177979,0.20856015384197235,0.11545554548501968,0.15395958721637726,0.06387553364038467,0.2892869710922241,0.7764843106269836,0.3930617570877075,0.07500000298023224,mixed only; direct answer CE; first-step local tables,6.660293102264404,4.857048034667969,0.4413337280571006,0.9424027540214898,0.1659674346446991,0.01668043210023663,0.028326248224469636,-0.0072719683447590566,0.03912354627657004,4.603137493133545,2.994933843612671
2,process,100,42,0.40234375,0.34765625,after greedy trace; not a marginal over traces,0.9997904896736145,0.3125,gold-prefix trace readout; conditioned on valid state token,0.6105769276618958,0.5403168797492981,0.9954268932342529,0.5687717795372009,0.06860904395580292,1.046462059020996,0.11940015852451324,0.6697849035263062,0.6697825193405151,0.3375000059604645,,,,,,,,,,,,
2,outcome,100,42,0.32421875,0.32421875,direct answer conditioned on COLON,0.997149646282196,0.22499999403953552,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
2,both,100,42,0.34765625,0.34375,direct answer conditioned on COLON,0.9980486631393433,0.23749999701976776,gold-prefix trace readout; conditioned on valid state token,0.5709134340286255,0.5917515158653259,0.9930626749992371,0.8732672333717346,0.06318197399377823,1.0216718912124634,0.17001250386238098,0.20510859787464142,0.2043486386537552,0.22499999403953552,mixed only; direct answer CE; first-step local tables,7.025421142578125,8.057674407958984,0.7972170126229203,0.6976723461072329,3.664407968521118,0.3306185878260612,0.1759982832022432,-0.10728142919332298,0.18951008673320513,2.354504346847534,2.5059971809387207
2,process,500,42,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0022882206831127405,0.9999873042106628,0.9978501796722412,0.0007667752797715366,1.012271523475647,0.010494682937860489,0.0039967261254787445,0.003996721003204584,1.0,,,,,,,,,,,,
2,outcome,500,42,0.44921875,0.44921875,direct answer conditioned on COLON,0.9988157153129578,0.3499999940395355,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
2,both,500,42,0.4296875,0.4296875,direct answer conditioned on COLON,0.9955145120620728,0.25,gold-prefix trace readout; conditioned on valid state token,0.9927884340286255,0.05614045634865761,0.9998944401741028,0.9900835156440735,0.01636308804154396,1.2131201028823853,0.06561270356178284,0.789743959903717,0.7891418933868408,1.0,mixed only; direct answer CE; first-step local tables,5.576366424560547,2.6410164833068848,0.23723598150267816,0.9997949461318871,2.4486429691314697,0.22772571830628044,0.11885043202102243,-0.0570057237312476,0.10276497926282689,2.2716596126556396,0.136882483959198
2,process,1000,42,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0004993573529645801,0.999995768070221,0.9993578791618347,0.00014653362450189888,1.0006722211837769,0.000549421354662627,0.0009417125838808715,0.0009417125838808715,1.0,,,,,,,,,,,,
