depth,mode,free_answer_accuracy_mean,free_answer_accuracy_std,free_answer_accuracy_count,local_rule_accuracy_mean,local_rule_accuracy_std,local_rule_accuracy_count,epsilon_rule_mean,epsilon_rule_std,epsilon_rule_count,gamma_mean,gamma_std,gamma_count,local_state_mass_mean,local_state_mass_std,local_state_mass_count,composition_tv_with_invalid_mean,composition_tv_with_invalid_std,composition_tv_with_invalid_count,gradient_cosine_mean,gradient_cosine_std,gradient_cosine_count,gradient_relative_error_mean,gradient_relative_error_std,gradient_relative_error_count,gradient_rule_pullback_norm_mean,gradient_rule_pullback_norm_std,gradient_rule_pullback_norm_count,descent_oracle_rule_cosine_mean,descent_oracle_rule_cosine_std,descent_oracle_rule_cosine_count,descent_random_rule_cosine_mean_mean,descent_random_rule_cosine_mean_std,descent_random_rule_cosine_mean_count
2,both,0.7140625,0.1297145585476771,5,0.9987980723381042,0.002081799777425916,5,1.1140755414962769,0.05295055162858616,5,0.0417551159858703,0.014568134992061414,5,0.9999513149261474,2.206625614250487e-05,5,0.5496676445007325,0.1521704073096554,5,0.1252162386766769,0.08993283676248137,5,0.9940082609362803,0.008844881310600038,5,0.585488286614418,0.4129088166289174,5,0.0072957448614826195,0.05264367294267099,5,-0.021277191403747044,0.011484078783995922,5
2,outcome,0.6296875,0.10317973216143882,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2,process,1.0,0.0,5,1.0,0.0,5,1.0001381874084472,3.31551231694581e-05,5,0.0001598332222783653,5.6498274612961474e-05,5,0.9999988675117493,3.674277069267398e-07,5,0.00020557889365584002,3.9243104367612714e-05,5,,,0,,,0,,,0,,,0,,,0
4,both,0.2859375,0.02476698044398025,5,0.9992788434028625,0.0016125551736217555,5,1.0917236804962158,0.05430737331445886,5,0.0392243487760424,0.01957648065647303,5,0.9999249815940857,6.943675832217291e-05,5,0.8326999425888062,0.025233393048103726,5,0.027873714772426922,0.04862031195793523,5,1.0223074767477702,0.04002868187230029,5,1.2451478362083435,1.1849451281951886,5,0.02565249699453124,0.037032807834053494,5,0.00014270633665049992,0.014136471004014262,5
4,outcome,0.1796875,0.03088161777508183,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
4,process,1.0,0.0,5,1.0,0.0,5,1.0026300430297852,0.005247880233400258,5,0.0016179569298401,0.0031051822894101683,5,0.9999987483024597,4.7497086076398467e-07,5,0.00043238318176001996,8.90714019459986e-05,5,,,0,,,0,,,0,,,0,,,0
6,both,0.21484375,0.023109686652732876,5,1.0,0.0,5,1.0359362363815308,0.023870382418823468,5,0.01768468413501974,0.008015036973091218,5,0.999945592880249,4.052402279253636e-05,5,0.8963825345039368,0.016334460231737527,5,0.03201096728803946,0.01746604351342571,5,1.4002354443219414,0.8514807536365825,5,2.9336962103843693,4.2782417906896395,5,0.0039919543783794986,0.017859960746478058,5,0.0014918712344710796,0.011645635177800914,5
6,outcome,0.07734375,0.021288166552247988,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
6,process,1.0,0.0,5,1.0,0.0,5,1.0087077856063842,0.006915536462989503,5,0.00417378066340456,0.003013309666075155,5,0.999998950958252,1.048262534339183e-06,5,0.0007806984009220599,0.0004132070915612476,5,,,0,,,0,,,0,,,0,,,0
