mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
process,0,43,0.01171875,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.06370192021131516,0.9375357031822205,0.22804734110832214,0.1098264753818512,0.20220398902893066,0.051709190011024475,0.25310981273651123,1.0,nan,0.10000000149011612,,,,,,,,,,,,
outcome,0,43,0.0,0.0,direct answer conditioned on COLON,0.323478639125824,0.03750000149011612,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,0,43,0.01171875,0.0,direct answer conditioned on COLON,0.323478639125824,0.03750000149011612,gold-prefix trace readout; conditioned on valid state token,0.06370192021131516,0.9375357031822205,0.22804734110832214,0.1098264753818512,0.20220398902893066,0.051709190011024475,0.25310981273651123,0.705595850944519,0.41176992654800415,0.10000000149011612,mixed only; direct answer CE; first-step local tables,5.9298529624938965,4.0138258934021,0.4224098864737414,0.9414498605357451,0.09077899903059006,0.02969164496984812,0.02165427910667799,0.01122271991958357,0.03639805792128405,4.225237846374512,2.9426262378692627
process,100,43,0.2109375,0.140625,after greedy trace; not a marginal over traces,0.999983012676239,0.17499999701976776,gold-prefix trace readout; conditioned on valid state token,0.6899038553237915,0.4563065767288208,0.9988787770271301,0.558535635471344,0.10717497020959854,1.0425316095352173,0.11150883883237839,0.8127530813217163,0.8127525448799133,0.13750000298023224,,,,,,,,,,,,
outcome,100,43,0.09375,0.09375,direct answer conditioned on COLON,0.9970566630363464,0.05000000074505806,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,100,43,0.078125,0.078125,direct answer conditioned on COLON,0.9980767965316772,0.11249999701976776,gold-prefix trace readout; conditioned on valid state token,0.567307710647583,0.6079615950584412,0.996126115322113,0.7092753648757935,0.11407794803380966,1.0161385536193848,0.12232841551303864,0.24947801232337952,0.2488095760345459,0.125,mixed only; direct answer CE; first-step local tables,6.706693172454834,10.423542022705078,0.673962579161481,1.149170402607047,3.021879196166992,0.13505346826344442,0.05163353943424001,-0.028271375802154157,0.09012994912072,2.7803072929382324,2.6593685150146484
process,500,43,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0013942408841103315,0.9999960064888,0.9958648681640625,0.001092777936719358,1.0132867097854614,0.006872567348182201,0.00804256834089756,0.008042567409574986,1.0,,,,,,,,,,,,
outcome,500,43,0.09765625,0.09765625,direct answer conditioned on COLON,0.9989906549453735,0.05000000074505806,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,500,43,0.10546875,0.10546875,direct answer conditioned on COLON,0.9973533749580383,0.10000000149011612,gold-prefix trace readout; conditioned on valid state token,1.0,0.017210617661476135,0.9999516606330872,0.9686023592948914,0.01245622057467699,1.0373303890228271,0.019174251705408096,0.8495486974716187,0.8493136167526245,1.0,mixed only; direct answer CE; first-step local tables,5.421991348266602,2.865380048751831,0.1913548035185129,1.0378014095828416,2.682593822479248,0.18344367958169203,0.06653845209418902,-0.001656778286439316,0.06032047359135951,2.9154000282287598,0.1380232572555542
