mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
process,0,43,0.0,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.0625,0.9371675252914429,0.2612681984901428,0.12542077898979187,0.19774562120437622,0.05994396284222603,0.36693471670150757,1.0,nan,0.03750000149011612,,,,,,,,,,,,
outcome,0,43,0.0,0.0,direct answer conditioned on COLON,0.25416573882102966,0.0625,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,0,43,0.0,0.0,direct answer conditioned on COLON,0.25416573882102966,0.0625,gold-prefix trace readout; conditioned on valid state token,0.0625,0.9371675252914429,0.2612681984901428,0.12542077898979187,0.19774562120437622,0.05994396284222603,0.36693471670150757,0.7564778327941895,0.33392995595932007,0.03750000149011612,mixed only; direct answer CE; first-step local tables,4.940378665924072,3.5720601081848145,0.22154617136116567,1.0965431473183584,0.10816697031259537,0.02967312650842016,0.04372447849193943,0.004661923973878097,0.030676921287374214,4.207274913787842,2.896169662475586
process,5,43,0.00390625,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.07451923191547394,0.9347367286682129,0.5564212203025818,0.26575103402137756,0.15233109891414642,0.06727105379104614,0.29678431153297424,1.0,nan,0.08749999850988388,,,,,,,,,,,,
outcome,5,43,0.046875,0.046875,direct answer conditioned on COLON,0.6839075088500977,0.07500000298023224,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,5,43,0.05078125,0.05078125,direct answer conditioned on COLON,0.7250017523765564,0.0625,gold-prefix trace readout; conditioned on valid state token,0.07211538404226303,0.9360178709030151,0.36089858412742615,0.12644276022911072,0.17823141813278198,0.062353745102882385,0.2774704098701477,0.38546857237815857,0.26271140575408936,0.10000000149011612,mixed only; direct answer CE; first-step local tables,4.4135823249816895,3.6411633491516113,0.38248309410037895,1.0244604742483028,0.09711992740631104,-0.02184894276228881,0.12576513096568892,0.010318237986500979,0.04694962207720259,3.197741985321045,2.852834463119507
process,10,43,0.07421875,0.0,after greedy trace; not a marginal over traces,0.9884628653526306,0.0625,gold-prefix trace readout; conditioned on valid state token,0.09735577553510666,0.9288498163223267,0.9582387804985046,0.5715869069099426,0.11332391202449799,0.16657137870788574,0.25294119119644165,0.23077082633972168,0.22584739327430725,0.05000000074505806,,,,,,,,,,,,
outcome,10,43,0.078125,0.078125,direct answer conditioned on COLON,0.9780545234680176,0.10000000149011612,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,10,43,0.078125,0.078125,direct answer conditioned on COLON,0.9841439127922058,0.05000000074505806,gold-prefix trace readout; conditioned on valid state token,0.07091346383094788,0.9351239204406738,0.7593013048171997,0.22681531310081482,0.14673922955989838,0.05055112764239311,0.27097734808921814,0.23978595435619354,0.23402051627635956,0.0625,mixed only; direct answer CE; first-step local tables,6.6542744636535645,4.183752059936523,0.548756992539989,0.839798567182789,0.07673856616020203,0.03665770229490485,0.09146864380408327,0.05783593123706067,0.09059175613526917,3.0626282691955566,2.8774404525756836
process,15,43,0.08203125,0.0,after greedy trace; not a marginal over traces,0.9980207681655884,0.07500000298023224,gold-prefix trace readout; conditioned on valid state token,0.1586538553237915,0.9129801988601685,0.994221568107605,0.8759231567382812,0.10083889216184616,0.42159608006477356,0.2639082670211792,0.23967765271663666,0.23890915513038635,0.0625,,,,,,,,,,,,
outcome,15,43,0.05078125,0.05078125,direct answer conditioned on COLON,0.996574878692627,0.05000000074505806,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
