task,condition,rho,seed,step,transition_index,free_step_accuracy,first_error_rate,teacher_full_step_accuracy,teacher_state_accuracy,teacher_state_token_accuracy,teacher_state_nll
state_machine_16,outcome,,2001,1000,1,,,0.0,0.0,0.33203125,5.77228344604373
state_machine_16,outcome,,2001,1000,2,,,0.0,0.0,0.05078125,2.778488895855844
state_machine_16,outcome,,2001,1000,3,,,0.0,0.0,0.017578125,2.99239987693727
state_machine_16,outcome,,2001,1000,4,,,0.0,0.0,0.06640625,3.842028273269534
state_machine_16,outcome,,2001,1000,5,,,0.0,0.0,0.0,2.7510705636814237
state_machine_16,outcome,,2001,1000,6,,,0.0,0.0,0.0,2.7596346009522676
state_machine_16,outcome,,2001,1000,7,,,0.0,0.0,0.037109375,3.024176183156669
state_machine_16,outcome,,2001,1000,8,,,0.0,0.0,0.0234375,3.226521013304591
state_machine_16,outcome,,2001,1000,9,,,0.0,0.0,0.009765625,3.564575335010886
state_machine_16,outcome,,2001,1000,10,,,0.0,0.0,0.0,2.4073734576813877
state_machine_16,outcome,,2001,1000,11,,,0.0,0.0390625,0.23828125,1.981909220572561
state_machine_16,outcome,,2001,1000,12,,,0.0,0.0,0.060546875,3.0155849335715175
state_machine_16,outcome,,2001,1000,13,,,0.0,0.0,0.009765625,3.259896280243993
state_machine_16,outcome,,2001,1000,14,,,0.0,0.0,0.033203125,3.592297624796629
state_machine_16,outcome,,2001,1000,15,,,0.0,0.0,0.0,3.1168600972741842
state_machine_16,outcome,,2001,1000,16,,,0.0,0.01171875,0.138671875,2.108074094634503
state_machine_16,outcome,,2001,2000,1,,,0.0,0.0,0.33203125,6.367624258622527
state_machine_16,outcome,,2001,2000,2,,,0.0,0.0,0.05078125,2.4817569572478533
state_machine_16,outcome,,2001,2000,3,,,0.0,0.0,0.03125,2.8416637117043138
state_machine_16,outcome,,2001,2000,4,,,0.0,0.0,0.06640625,3.6744121247902513
state_machine_16,outcome,,2001,2000,5,,,0.0,0.0,0.0390625,2.371288464870304
