eps,depth,credit_mean,credit_max,process_floor_mean,p_y_mean,bound_using_mean_p_y,n_occurrences,theorem
0.1,2,1.5035573122529646,1.5151515151515156,15.919999999999998,0.06242500000000001,1.501802162595114,400,cor:near-mixing
0.1,3,0.15003180520421902,0.15015015015015026,16.168888888888887,0.06248750000000001,0.15003000600120026,600,cor:near-mixing
0.1,4,0.014999942330728393,0.015001500150015173,16.106666666666666,0.06250025000000001,0.01499994000024,800,cor:near-mixing
0.1,5,0.0014999958028375912,0.001500015000150041,16.079999999999995,0.06250017500000002,0.0014999958000117598,1000,cor:near-mixing
0.1,6,0.00014999995800285865,0.00015000015000042494,15.973333333333333,0.0625000175,0.00014999995800001178,1200,cor:near-mixing
0.1,7,1.4999999820008035e-05,1.5000001500133112e-05,16.08,0.06250000075,1.4999999820000007e-05,1400,cor:near-mixing
0.1,8,1.4999999982086062e-06,1.5000000152582394e-06,16.2,0.06250000007499999,1.4999999982000008e-06,1600,cor:near-mixing
0.1,9,1.4999999996990518e-07,1.5000000035554125e-07,16.085925925925924,0.0625000000075,1.4999999998200007e-07,1800,cor:near-mixing
0.1,10,1.499999998736184e-08,1.500000014626033e-08,16.074666666666666,0.06249999999875001,1.5000000000300004e-08,2000,cor:near-mixing
0.1,11,1.5000000002192477e-09,1.500000186575635e-09,15.886060606060607,0.062499999999925004,1.5000000000018008e-09,2200,cor:near-mixing
0.1,12,1.4999999929027795e-10,1.5000022751734024e-10,15.92,0.06249999999999249,1.500000000000181e-10,2400,cor:near-mixing
0.3,2,4.6723404255319165,4.945054945054945,20.35324675324676,0.064975,4.328587918430165,400,cor:near-mixing
0.3,3,1.372530201563203,1.3874614594039063,20.33766233766234,0.061757499999999986,1.3662308221673485,600,cor:near-mixing
0.3,4,0.4057121803864986,0.4083072890412343,20.376623376623385,0.06243924999999998,0.4053940430098056,800,cor:near-mixing
0.3,5,0.1214989862773071,0.12179596419298928,20.306493506493517,0.06250607499999998,0.12148819134780103,1000,cor:near-mixing
0.3,6,0.036442922567227046,0.03647659143515634,20.041558441558447,0.06251275749999997,0.03644256134437839,1200,cor:near-mixing
0.3,7,0.010933195839728432,0.010937392007632373,20.386641929499078,0.06251038824999999,0.010933182773824796,1400,cor:near-mixing
0.3,8,0.0032804744072958258,0.0032807152477277507,20.23636363636364,0.06250049207499998,0.003280474172170748,1600,cor:near-mixing
0.3,9,0.0009841569773653693,0.0009841693714060151,20.244155844155856,0.06249955713249999,0.0009841569736182161,1800,cor:near-mixing
0.3,10,0.00029524479096465977,0.00029524674340272034,20.315844155844164,0.06250004428674999,0.0002952447907930841,2000,cor:near-mixing
0.3,11,8.857355648867583e-05,8.857365690578546e-05,20.348996458087374,0.06249996014192499,8.85735564859433e-05,2200,cor:near-mixing
0.3,12,2.6572052824377182e-05,2.6572064121643612e-05,20.2909090909091,0.062499993356987485,2.657205282429566e-05,2400,cor:near-mixing
0.5,2,9.53684210526316,10.000000000000002,28.305882352941175,0.060625,7.731958762886598,400,cor:near-mixing
0.5,3,4.106832298136647,4.2857142857142865,28.117647058823533,0.0621875,3.7688442211055277,600,cor:near-mixing
0.5,4,1.9483870967741936,2.0000000000000004,27.84705882352941,0.06171875,1.8987341772151898,800,cor:near-mixing
0.5,5,0.9562113932738509,0.9677419354838711,28.503529411764706,0.061640625,0.9505703422053232,1000,cor:near-mixing
0.5,6,0.46992163954189275,0.4761904761904762,28.094117647058823,0.0625390625,0.46845721424109926,1200,cor:near-mixing
0.5,7,0.23516326193491546,0.2362204724409449,28.426890756302516,0.06232421875,0.23503603885929175,1400,cor:near-mixing
0.5,8,0.11709138267853268,0.11764705882352942,27.970588235294116,0.062568359375,0.1170594662088341,1600,cor:near-mixing
0.5,9,0.058619293939405195,0.05870841487279844,28.384313725490195,0.0624755859375,0.05861664712778429,1800,cor:near-mixing
0.5,10,0.029289385519010794,0.029325513196480944,28.27764705882353,0.06251708984375,0.02928886632561409,2000,cor:near-mixing
0.5,11,0.014648773692203175,0.014655593551538839,28.16470588235294,0.062498779296875,0.014648723607882967,2200,cor:near-mixing
0.5,12,0.007324296558059634,0.007326007326007327,28.117647058823533,0.0624993896484375,0.007324290276272229,2400,cor:near-mixing
0.9,2,66.85107064238545,71.0526315789474,138.45517241379312,0.060474999999999994,13.952046300124021,400,cor:near-mixing
0.9,3,41.76683295278701,44.83394833948341,139.57241379310346,0.0679675,11.172619266561226,600,cor:near-mixing
0.9,4,29.949729436298394,31.797034021517906,142.55172413793105,0.060859749999999976,11.229712576867312,800,cor:near-mixing
0.9,5,21.613811411274103,24.032380161656633,141.80689655172415,0.08759582499999996,7.021952815673582,1000,cor:near-mixing
0.9,6,17.559673589891936,18.903382498255308,143.1724137931035,0.06914301249999996,8.006367599329005,1200,cor:near-mixing
0.9,7,14.564744076827884,15.279983960225671,139.35960591133005,0.05652128874999998,8.814836825531517,1400,cor:near-mixing
0.9,8,11.724462655815973,12.59708593775612,142.1793103448276,0.067880840125,6.605742399833035,1600,cor:near-mixing
0.9,9,9.917160157258095,10.540685795153875,140.40000000000003,0.06346855122249997,6.3584720558728405,1800,cor:near-mixing
0.9,10,8.403010518061045,8.92233221312717,141.50896551724142,0.06337169610024998,5.731371113421522,2000,cor:near-mixing
0.9,11,7.186193369282975,7.622059699111868,139.70783699059564,0.06328452649022497,5.165339076120629,2200,cor:near-mixing
0.9,12,6.333418720060954,6.559856042939493,139.88275862068969,0.05614533542917747,5.239926551075288,2400,cor:near-mixing
