rho,process_coefficient,predicted_coefficient,process_cosine_to_T_minus_U,process_rule_frobenius_mean,outcome_feasible_frobenius_mean,outcome_feasible_frobenius_max,outcome_rule_frobenius_mean,outcome_rule_frobenius_max,outcome_rule_product_mean,outcome_rule_product_max,n_circuits_outcome,n_circuits_process,depth,theorem
0.0,-0.06666666666666668,-0.06666666666666667,-0.6903918658708109,0.3742183417727689,0.00809550200521027,0.01318853668910997,1.0753757123887425e-17,1.7138779507501525e-17,0.0,0.0,4000,20000,8,thm:complete-mixing / App I
0.0625,0.00474039971373791,0.0,0.06809200578883473,0.2710926288936547,0.00809550200521027,0.01318853668910997,1.0753757123887425e-17,1.7138779507501525e-17,0.0,0.0,4000,20000,8,thm:complete-mixing / App I
0.25,0.20554714422288425,0.2,0.9469133644079009,0.8405932738966265,0.00809550200521027,0.01318853668910997,1.0753757123887425e-17,1.7138779507501525e-17,0.0,0.0,4000,20000,8,thm:complete-mixing / App I
0.5,0.46590250740596406,0.4666666666666667,0.9890329330858962,1.8244355547026048,0.00809550200521027,0.01318853668910997,1.0753757123887425e-17,1.7138779507501525e-17,0.0,0.0,4000,20000,8,thm:complete-mixing / App I
1.0,1.0,1.0,0.9979016988965671,3.881128949163724,0.00809550200521027,0.01318853668910997,1.0753757123887425e-17,1.7138779507501525e-17,0.0,0.0,4000,20000,8,thm:complete-mixing / App I
