t,eps,depth,fwd_mean,bwd_mean,p_y_mean,credit_mean,process_floor_mean,theorem
1,0.4,8,0.9682458365518544,0.0015863739786065628,0.06251310720000001,0.024571049755716876,23.57142857142857,thm:forward-backward
2,0.4,8,0.3872983346207417,0.0039659349465164,0.06251310720000001,0.02457104975571683,23.628571428571426,thm:forward-backward
3,0.4,8,0.15491933384829662,0.00991483736629099,0.06251310720000001,0.024571049755716806,23.457142857142852,thm:forward-backward
4,0.4,8,0.061967733539318656,0.024787093415727473,0.06251310720000001,0.0245710497557168,23.8,thm:forward-backward
5,0.4,8,0.024787093415727473,0.06196773353931867,0.06251310720000001,0.024571049755716813,23.742857142857137,thm:forward-backward
6,0.4,8,0.009914837366290992,0.15491933384829662,0.06251310720000001,0.024571049755716813,23.857142857142854,thm:forward-backward
7,0.4,8,0.003965934946516393,0.38729833462074176,0.06251310720000001,0.024571049755716796,23.34285714285714,thm:forward-backward
8,0.4,8,0.0015863739786065596,0.9682458365518544,0.06251310720000001,0.024571049755716824,23.8,thm:forward-backward
