parameterization,not_a_proof,depth,eps,seed,step,k,m,lr,r,r_prev,dini_plus,discrete_dr,c_hat,outcome_loss,process_loss
projected_simplex,True,2,0.3,1,0,4,2,0.05,0.5778244733810425,0.5774059891700745,0.008369684219360352,0.008369684219360352,0.014495319370327952,1.3991847038269043,1.0923287868499756
projected_simplex,True,2,0.3,1,1,4,2,0.05,0.5788810849189758,0.5778244733810425,0.021132230758666992,0.021132230758666992,0.03657205904591632,1.3848164081573486,1.0735180377960205
projected_simplex,True,2,0.3,1,2,4,2,0.05,0.5805432200431824,0.5788810849189758,0.03324270248413086,0.03324270248413086,0.05742578804208767,1.3708537817001343,1.0547566413879395
projected_simplex,True,2,0.3,1,3,4,2,0.05,0.5827845931053162,0.5805432200431824,0.04482746124267578,0.04482746124267578,0.07721640645349608,1.357143521308899,1.0360130071640015
projected_simplex,True,2,0.3,1,4,4,2,0.05,0.5855834484100342,0.5827845931053162,0.05597710609436035,0.05597710609436035,0.09605110834535156,1.34355890750885,1.0172629356384277
projected_simplex,True,2,0.3,1,5,4,2,0.05,0.5889216661453247,0.5855834484100342,0.06676435470581055,0.06676435470581055,0.11401339106678637,1.3299933671951294,0.9984884262084961
projected_simplex,True,2,0.3,1,6,4,2,0.05,0.5927838087081909,0.5889216661453247,0.07724285125732422,0.07724285125732422,0.13115980562050414,1.3163561820983887,0.9796768426895142
projected_simplex,True,2,0.3,1,7,4,2,0.05,0.5971563458442688,0.5927838087081909,0.08745074272155762,0.08745074272155762,0.14752552521994897,1.3025693893432617,0.960820198059082
projected_simplex,True,2,0.3,1,8,4,2,0.05,0.6020272374153137,0.5971563458442688,0.09741783142089844,0.09741783142089844,0.16313622403722028,1.2885653972625732,0.9419139623641968
projected_simplex,True,2,0.3,1,9,4,2,0.05,0.6073852181434631,0.6020272374153137,0.10715961456298828,0.10715961456298828,0.17799795076225644,1.2742856740951538,0.9229572415351868
projected_simplex,True,2,0.3,1,10,4,2,0.05,0.613219678401947,0.6073852181434631,0.11668920516967773,0.11668920516967773,0.19211729506086858,1.259679913520813,0.90395188331604
projected_simplex,True,2,0.3,1,11,4,2,0.05,0.6191621422767639,0.613219678401947,0.11884927749633789,0.11884927749633789,0.19381191061262024,1.2447046041488647,0.8849027156829834
projected_simplex,True,2,0.3,1,12,4,2,0.05,0.6252315044403076,0.6191621422767639,0.12138724327087402,0.12138724327087402,0.1960508160665518,1.2293450832366943,0.8658616542816162
projected_simplex,True,2,0.3,1,13,4,2,0.05,0.6316540837287903,0.6252315044403076,0.12845158576965332,0.12845158576965332,0.20544643841106525,1.213579535484314,0.8468352556228638
projected_simplex,True,2,0.3,1,14,4,2,0.05,0.6384229063987732,0.6316540837287903,0.1353764533996582,0.1353764533996582,0.21432055437764574,1.197374939918518,0.8278052806854248
projected_simplex,True,2,0.3,1,15,4,2,0.05,0.6455309987068176,0.6384229063987732,0.14216184616088867,0.14216184616088867,0.2226766062684023,1.180713415145874,0.8087825775146484
projected_simplex,True,2,0.3,1,16,4,2,0.05,0.6529718041419983,0.6455309987068176,0.14881610870361328,0.14881610870361328,0.23053286209606405,1.1635829210281372,0.7897793054580688
projected_simplex,True,2,0.3,1,17,4,2,0.05,0.6604597568511963,0.6529718041419983,0.14975905418395996,0.14975905418395996,0.22934995544063747,1.1459754705429077,0.7708081007003784
projected_simplex,True,2,0.3,1,18,4,2,0.05,0.668185830116272,0.6604597568511963,0.15452146530151367,0.15452146530151367,0.23396045512024718,1.1279712915420532,0.7520425319671631
projected_simplex,True,2,0.3,1,19,4,2,0.05,0.6762527227401733,0.668185830116272,0.16133785247802734,0.16133785247802734,0.24145656074441554,1.1095452308654785,0.7334036827087402
