condition,step,depth,seed,layer,cosine,C_t,term_grad_norm,local_grad_norm,note
outcome,0,2,42,0,-0.06527745723724365,-0.0016841462347656488,0.09955713152885437,3.8587913513183594,C_t vs D only; not an eps^{D-1} claim
outcome,0,2,42,1,-0.10838112980127335,-0.002390065463259816,0.09931502491235733,4.503536701202393,C_t vs D only; not an eps^{D-1} claim
outcome_local,0,2,42,0,-0.06556157767772675,-0.0016898226458579302,0.09955713152885437,3.8625669479370117,C_t vs D only; not an eps^{D-1} claim
outcome_local,0,2,42,1,-0.11090034246444702,-0.002489818027243018,0.09931502491235733,4.423587322235107,C_t vs D only; not an eps^{D-1} claim
outcome,40,2,42,0,-0.06253833323717117,-0.026461485773324966,3.0893678665161133,7.301218032836914,C_t vs D only; not an eps^{D-1} claim
outcome,40,2,42,1,0.3402242958545685,0.23647062480449677,14.056772232055664,20.22409439086914,C_t vs D only; not an eps^{D-1} claim
outcome_local,40,2,42,0,0.3316367566585541,0.18771620094776154,16.090484619140625,28.4267578125,C_t vs D only; not an eps^{D-1} claim
outcome_local,40,2,42,1,0.1121797114610672,0.21802754700183868,33.65187072753906,17.31435775756836,C_t vs D only; not an eps^{D-1} claim
outcome,80,2,42,0,-0.3373115062713623,-0.11000291258096695,0.9817062020301819,3.010274887084961,C_t vs D only; not an eps^{D-1} claim
outcome,80,2,42,1,-0.10691436380147934,-0.004931475035846233,0.9140436053276062,19.81616973876953,C_t vs D only; not an eps^{D-1} claim
outcome_local,80,2,42,0,0.34902864694595337,0.13001710176467896,3.4539499282836914,9.271856307983398,C_t vs D only; not an eps^{D-1} claim
outcome_local,80,2,42,1,-0.2296469807624817,-0.015575798228383064,4.748035907745361,70.00291442871094,C_t vs D only; not an eps^{D-1} claim
