mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
process,0,42,0.0,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.06370192766189575,0.9375075101852417,0.23975344002246857,0.12436313182115555,0.19060450792312622,0.054889630526304245,0.22282499074935913,1.0,nan,0.07500000298023224,,,,,,,,,,,,
outcome,0,42,0.0,0.0,direct answer conditioned on COLON,0.17913050949573517,0.0625,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,0,42,0.0,0.0,direct answer conditioned on COLON,0.17913050949573517,0.0625,gold-prefix trace readout; conditioned on valid state token,0.06370192766189575,0.9375075101852417,0.23975344002246857,0.12436313182115555,0.19060450792312622,0.054889630526304245,0.22282499074935913,0.8236622214317322,0.3643374741077423,0.07500000298023224,mixed only; direct answer CE; first-step local tables,5.15265417098999,3.6395418643951416,0.22953744509073823,1.0838156084931019,0.0597875602543354,0.02482501791150238,0.042323373497817646,-0.00465864463782464,0.036201686675565045,4.435781478881836,2.974825859069824
process,5,42,0.06640625,0.0,after greedy trace; not a marginal over traces,0.6166618466377258,0.05000000074505806,gold-prefix trace readout; conditioned on valid state token,0.06490384787321091,0.9354211688041687,0.5038835406303406,0.26664525270462036,0.1450660675764084,0.06495878100395203,0.26737579703330994,0.5036689639091492,0.31392359733581543,0.03750000149011612,,,,,,,,,,,,
outcome,5,42,0.0,0.0,direct answer conditioned on COLON,0.6006752848625183,0.0625,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,5,42,0.06640625,0.06640625,direct answer conditioned on COLON,0.6278334259986877,0.0625,gold-prefix trace readout; conditioned on valid state token,0.06610576808452606,0.9369630217552185,0.31884685158729553,0.11004303395748138,0.16717815399169922,0.060384396463632584,0.23958434164524078,0.4778352677822113,0.31376343965530396,0.07500000298023224,mixed only; direct answer CE; first-step local tables,5.205976486206055,5.19798469543457,0.44175879386004946,1.0558270203569902,0.058153752237558365,-0.02930330933997578,0.08983875969928747,0.0024510761952032858,0.0768516606378155,3.4863791465759277,3.2679758071899414
process,10,42,0.01953125,0.0,after greedy trace; not a marginal over traces,0.12224981933832169,0.012500000186264515,gold-prefix trace readout; conditioned on valid state token,0.07692307978868484,0.9335729479789734,0.8996290564537048,0.5139783024787903,0.12069930136203766,0.07691915333271027,0.2328914850950241,0.9004913568496704,0.19482599198818207,0.07500000298023224,,,,,,,,,,,,
outcome,10,42,0.0546875,0.0546875,direct answer conditioned on COLON,0.9790508151054382,0.05000000074505806,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,10,42,0.046875,0.046875,direct answer conditioned on COLON,0.9676243662834167,0.07500000298023224,gold-prefix trace readout; conditioned on valid state token,0.06370192766189575,0.9367315173149109,0.6277235150337219,0.2336171567440033,0.15617823600769043,0.06107603758573532,0.23399081826210022,0.2894470989704132,0.2757011950016022,0.08749999850988388,mixed only; direct answer CE; first-step local tables,6.49776554107666,5.099454402923584,0.5949068730855314,0.8259210781810729,0.07209254801273346,0.07232003153785402,0.23046954861016208,0.040104830837180375,0.0874381289293173,3.013110637664795,3.158478260040283
process,15,42,0.07421875,0.0,after greedy trace; not a marginal over traces,0.9991747736930847,0.0625,gold-prefix trace readout; conditioned on valid state token,0.12259615957736969,0.9225173592567444,0.9923147559165955,0.7239775657653809,0.09315294772386551,0.24386382102966309,0.26226934790611267,0.22835898399353027,0.22799840569496155,0.0625,,,,,,,,,,,,
outcome,15,42,0.0859375,0.0859375,direct answer conditioned on COLON,0.9981483817100525,0.07500000298023224,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,15,42,0.078125,0.078125,direct answer conditioned on COLON,0.9979874491691589,0.10000000149011612,gold-prefix trace readout; conditioned on valid state token,0.08173077553510666,0.9355693459510803,0.877547025680542,0.3732215166091919,0.13488011062145233,0.06895100325345993,0.29272642731666565,0.2248505800962448,0.2241242378950119,0.08749999850988388,mixed only; direct answer CE; first-step local tables,5.72537899017334,5.287087917327881,0.6943945002877351,0.7551699468392994,0.0973544642329216,-0.18171004984990066,0.0913071896690138,0.04031806408093702,0.08205622873479322,2.680718421936035,2.95493221282959
process,20,42,0.0625,0.0,after greedy trace; not a marginal over traces,0.9997256398200989,0.0625,gold-prefix trace readout; conditioned on valid state token,0.15625,0.9130433201789856,0.9966687560081482,0.7253790497779846,0.10417074710130692,0.24085022509098053,0.2054917961359024,0.23813021183013916,0.23802562057971954,0.08749999850988388,,,,,,,,,,,,
outcome,20,42,0.0234375,0.0234375,direct answer conditioned on COLON,0.9990553855895996,0.07500000298023224,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,20,42,0.03125,0.03125,direct answer conditioned on COLON,0.9995998740196228,0.07500000298023224,gold-prefix trace readout; conditioned on valid state token,0.07211538404226303,0.9349683523178101,0.9671358466148376,0.5859863758087158,0.11329201608896255,0.0638444721698761,0.2218141108751297,0.22502224147319794,0.22486479580402374,0.0625,mixed only; direct answer CE; first-step local tables,9.220830917358398,6.481771945953369,0.7813814392654416,0.6289631577717143,0.12019336223602295,-0.1880380595827728,0.21327048907792706,0.06234595842425823,0.11402088851846429,2.9730591773986816,3.0520615577697754
process,25,42,0.10546875,0.0,after greedy trace; not a marginal over traces,0.9998084306716919,0.05000000074505806,gold-prefix trace readout; conditioned on valid state token,0.29086539149284363,0.8710265755653381,0.9980088472366333,0.7600829005241394,0.13529592752456665,0.6739405393600464,0.19586537778377533,0.3505013585090637,0.3504396378993988,0.0625,,,,,,,,,,,,
outcome,25,42,0.08984375,0.08984375,direct answer conditioned on COLON,0.9986144304275513,0.07500000298023224,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,25,42,0.09375,0.09375,direct answer conditioned on COLON,0.9997696280479431,0.07500000298023224,gold-prefix trace readout; conditioned on valid state token,0.08653846383094788,0.9325414896011353,0.9902090430259705,0.8889098167419434,0.0911141186952591,0.0875997543334961,0.288800984621048,0.2066306173801422,0.2065304070711136,0.0625,mixed only; direct answer CE; first-step local tables,7.558361053466797,5.887862205505371,0.7627070670739897,0.646948917900109,0.16879040002822876,-0.23872188284665832,0.11760567166751977,0.023338772980109678,0.08220862924502334,2.767176628112793,2.9034461975097656
process,30,42,0.08203125,0.0,after greedy trace; not a marginal over traces,0.98637455701828,0.10000000149011612,gold-prefix trace readout; conditioned on valid state token,0.4483173191547394,0.8207306861877441,0.9966410398483276,0.8424350619316101,0.15999828279018402,0.8354623913764954,0.1534731090068817,0.4028026759624481,0.3948272466659546,0.07500000298023224,,,,,,,,,,,,
outcome,30,42,0.046875,0.046875,direct answer conditioned on COLON,0.9982675909996033,0.10000000149011612,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
