condition,trace_fraction,depth,seed,probe_step,step,free_answer_acc,gamma_hat,eps_rule_hat,rule_recovery,credit_mean,credit_max,state_on_set_mass,delta_comp_tv,delta_comp_gold,product_answer_acc,model_answer_acc,answer_on_set_mass,exponent_target,exponent_fit_conditional,exponent_r2_conditional,credit_by_lambda_conditional,eps_by_lambda_conditional,exponent_fit_proportional,exponent_r2_proportional,credit_by_lambda_proportional,eps_by_lambda_proportional,eps_step_std,table_step_tv,background_eps_std,background_table_tv,eps_rule_by_step,composition,probe_seconds
both,0.5,2,2001,1,0,0.0,0.3312185482189865,0.039301431592096585,0.0625,2.5138446066194717,11.461115318966113,2.1771764753897406e-06,0.38763177609601107,0.04401497384443568,0.0625,0.0,3.2595390516397582e-06,1,,,,,,,,,0.003189793808155119,0.3485767914213275,0.0,0.0,"{""1"": 0.039301431592096585, ""2"": 0.04568101920840682}",per_step,5.5
both,0.5,2,2001,2,0,0.0,0.1541556699205001,0.04568101920840682,0.0829326923076923,2.5138446066194717,11.461115318966113,3.470816777541784e-06,0.38763177609601107,0.04401497384443568,0.0625,0.0,3.2595390516397582e-06,1,,,,,,,,,0.003189793808155119,0.3485767914213275,0.0,0.0,"{""1"": 0.039301431592096585, ""2"": 0.04568101920840682}",per_step,5.5
both,0.5,2,2001,1,2,0.0,0.3294975547504896,0.04322902563908145,0.0625,2.6352847946580615,12.033446286174943,4.640371447553911e-06,0.3810431207941814,0.043712331831874326,0.0,0.0,6.797265143433787e-06,1,0.9998278257247033,0.9999999817966679,"{""1"": 0.11686365263583749, ""0.5"": 0.05846348969928202, ""0.25"": 0.029235708593189864, ""0.125"": 0.014618349946742576, ""0.0625"": 0.007309236935335995, ""0.03125"": 0.0036546262130916123}","{""1"": 0.05060674675855122, ""0.5"": 0.02530337337927561, ""0.25"": 0.012651686689637806, ""0.125"": 0.006325843344818903, ""0.0625"": 0.0031629216724094514, ""0.03125"": 0.0015814608362047257}",1.0360808769876524,0.998835809267245,"{""1"": 2.635284794658061, ""0.5"": 1.1422055544428786, ""0.25"": 0.5597830891067113, ""0.125"": 0.2794367541719506, ""0.0625"": 0.13987177470884612, ""0.03125"": 0.0700073053578334}","{""1"": 0.05060674675855122, ""0.5"": 0.02530337337927561, ""0.25"": 0.012651686689637806, ""0.125"": 0.006325843344818903, ""0.0625"": 0.0031629216724094514, ""0.03125"": 0.0015814608362047257}",0.0036888605597348856,0.34381380341316886,0.0,0.0,"{""1"": 0.04322902563908145, ""2"": 0.05060674675855122}",per_step,5.7
both,0.5,2,2001,2,2,0.0,0.1597696390332984,0.05060674675855122,0.07211538461538461,2.6352847946580615,12.033446286174943,7.157183431373827e-06,0.3810431207941814,0.043712331831874326,0.0,0.0,6.797265143433787e-06,1,0.9998278257247033,0.9999999817966679,"{""1"": 0.11686365263583749, ""0.5"": 0.05846348969928202, ""0.25"": 0.029235708593189864, ""0.125"": 0.014618349946742576, ""0.0625"": 0.007309236935335995, ""0.03125"": 0.0036546262130916123}","{""1"": 0.05060674675855122, ""0.5"": 0.02530337337927561, ""0.25"": 0.012651686689637806, ""0.125"": 0.006325843344818903, ""0.0625"": 0.0031629216724094514, ""0.03125"": 0.0015814608362047257}",1.0360808769876524,0.998835809267245,"{""1"": 2.635284794658061, ""0.5"": 1.1422055544428786, ""0.25"": 0.5597830891067113, ""0.125"": 0.2794367541719506, ""0.0625"": 0.13987177470884612, ""0.03125"": 0.0700073053578334}","{""1"": 0.05060674675855122, ""0.5"": 0.02530337337927561, ""0.25"": 0.012651686689637806, ""0.125"": 0.006325843344818903, ""0.0625"": 0.0031629216724094514, ""0.03125"": 0.0015814608362047257}",0.0036888605597348856,0.34381380341316886,0.0,0.0,"{""1"": 0.04322902563908145, ""2"": 0.05060674675855122}",per_step,5.7
