condition,depth,seed,step,free_answer_acc,gamma_hat,eps_rule_hat,rule_recovery,credit_mean,credit_max,state_on_set_mass,delta_comp_tv,delta_comp_gold,product_answer_acc,model_answer_acc,answer_on_set_mass,exponent_target,exponent_fit_conditional,exponent_r2_conditional,credit_by_lambda_conditional,eps_by_lambda_conditional,exponent_fit_proportional,exponent_r2_proportional,credit_by_lambda_proportional,eps_by_lambda_proportional,probe_seconds
both,3,2001,0,0.0,0.1906511221630575,0.00852660322759191,0.0625,0.9637860952377796,12.652068370979332,8.190801048064023e-06,0.2882267031697748,0.03680411855136441,0.056666666666666664,0.06666666666666667,9.037062032000296e-06,2,,,,,,,,,4.8
both,3,2001,500,0.13666666666666666,0.09867670517273136,1.0337858841510585,0.47836538461538464,3.434887456825127,104.08066297390438,0.9923010685954685,0.2123684103860336,0.03890004262554268,0.13333333333333333,0.14333333333333334,0.9920525428270545,2,,,,,,,,,3.8
both,3,2001,2000,0.3466666666666667,0.10984606743198,1.2105247598704492,0.8353365384615384,1.56881701105321,22.847663719837623,0.9986286092029376,0.5322239078077122,0.39497854014526945,0.6733333333333333,0.30333333333333334,0.9990609101754997,2,1.4774151773035393,0.9442211590469803,"{""1"": 1.5348641034238295, ""0.5"": 1.4564656578511144, ""0.25"": 0.6604903145065968, ""0.125"": 0.1865754457649193, ""0.0625"": 0.04743531649147807, ""0.03125"": 0.01188413014262466}","{""1"": 1.2105247598704492, ""0.5"": 0.6052623799352246, ""0.25"": 0.3026311899676123, ""0.125"": 0.15131559498380615, ""0.0625"": 0.07565779749190307, ""0.03125"": 0.037828898745951536}",1.4093311566402107,0.9504040474833951,"{""1"": 1.56881701105321, ""0.5"": 1.480591757257874, ""0.25"": 0.6685684516152388, ""0.125"": 0.19383382935398838, ""0.0625"": 0.05324241849259194, ""0.03125"": 0.015844021325153154}","{""1"": 1.2105247598704492, ""0.5"": 0.6052623799352246, ""0.25"": 0.3026311899676123, ""0.125"": 0.15131559498380615, ""0.0625"": 0.07565779749190307, ""0.03125"": 0.037828898745951536}",3.9
both,3,2002,0,0.0,0.356978756119259,0.03819408005828402,0.0625,6.293562118672199,110.9460375784397,7.384609521548028e-07,0.21885320412907341,0.025059695504313886,0.05,0.05333333333333334,9.415103461067419e-07,2,,,,,,,,,4.9
both,3,2002,500,0.12666666666666668,0.10594565046792716,1.0359517006740067,0.4182692307692308,3.0332623708612787,40.06415481096613,0.9932347635678338,0.21398042309120452,0.03570966839444094,0.13333333333333333,0.14333333333333334,0.9941263199754106,2,,,,,,,,,4.3
both,3,2002,2000,0.25,0.13267853322777445,1.3773932348549545,0.8185096153846154,2.3027698529429634,31.48451221721858,0.9984026176352246,0.5860192217394634,0.35699245560516535,0.6033333333333334,0.21666666666666667,0.9989766602744874,2,1.5619969756622116,0.9641541495618542,"{""1"": 1.9525167844287419, ""0.5"": 1.493022350802531, ""0.25"": 0.6155483346308441, ""0.125"": 0.17033159340442744, ""0.0625"": 0.043180832315056795, ""0.03125"": 0.010814283400705059}","{""1"": 1.3773932348549545, ""0.5"": 0.6886966174274772, ""0.25"": 0.3443483087137386, ""0.125"": 0.1721741543568693, ""0.0625"": 0.08608707717843465, ""0.03125"": 0.04304353858921733}",1.4834737162366218,0.9785996639542871,"{""1"": 2.3027698529429634, ""0.5"": 1.549212685205401, ""0.25"": 0.6320083628164995, ""0.125"": 0.18339941505707388, ""0.0625"": 0.052632937540052216, ""0.03125"": 0.016789469247800143}","{""1"": 1.3773932348549545, ""0.5"": 0.6886966174274772, ""0.25"": 0.3443483087137386, ""0.125"": 0.1721741543568693, ""0.0625"": 0.08608707717843465, ""0.03125"": 0.04304353858921733}",3.9
