task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
state_machine_16,outcome,,2001,8000,0.4607822895050049,0.058,,,1.0
state_machine_16,rho=0.00,0.0,2001,8000,0.46268486976623535,0.062,0.0,0.00634375,1.0
state_machine_16,rho=0.05,0.05,2001,8000,0.46297985315322876,0.064,0.0,0.0063125,1.0
state_machine_16,rho=0.10,0.1,2001,8000,0.46292644739151,0.0625,0.0,0.0063125,1.0
state_machine_16,rho=0.15,0.15,2001,8000,0.46259063482284546,0.0565,0.0,0.0066875,1.0
state_machine_16,rho=0.20,0.2,2001,8000,0.4620765149593353,0.058,0.0,0.0058125,1.0






state_machine_16,rho=0.30,0.3,2001,8000,0.4596403241157532,0.064,0.0,0.010125,1.0
state_machine_16,rho=0.40,0.4,2001,8000,0.4561927616596222,0.062,0.0,0.0131875,1.0
state_machine_16,rho=0.60,0.6,2001,8000,0.31919097900390625,0.061,0.0035,0.13084375,1.0
state_machine_16,rho=0.80,0.8,2001,8000,0.2181149274110794,0.061,0.0035,0.1340625,1.0
state_machine_16,rho=1.00,1.0,2001,8000,3.190745701431297e-05,1.0,1.0,1.0,1.0
