task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
state_machine_16,outcome,,2001,8000,0.4606143534183502,0.0575,,,1.0
state_machine_16,rho=0.80,0.8,2001,8000,0.2182689756155014,0.061,0.0035,0.13090625,1.0
state_machine_16,rho=0.90,0.9,2001,8000,0.0889674574136734,1.0,1.0,1.0,1.0
state_machine_16,rho=0.95,0.95,2001,8000,0.023605238646268845,1.0,1.0,1.0,1.0
state_machine_16,rho=1.00,1.0,2001,8000,0.004216969478875399,0.9025,0.9,0.952625,1.0
