model,layer,method,counterfactual_accuracy
oracle_outcome,0,oracle_slot,1.0
oracle_outcome,0,random_subspace,0.076171875
oracle_outcome,0,unstructured,0.12890625
oracle_outcome,0,wrong_layer,0.375
oracle_outcome,0,probe_subspace,0.06640625
oracle_outcome,0,probe_wrong_layer,0.05078125
oracle_outcome,1,oracle_slot,1.0
oracle_outcome,1,random_subspace,0.046875
oracle_outcome,1,unstructured,0.091796875
oracle_outcome,1,wrong_layer,0.4453125
oracle_outcome,1,probe_subspace,0.0703125
oracle_outcome,1,probe_wrong_layer,0.068359375
oracle_outcome,2,oracle_slot,1.0
oracle_outcome,2,random_subspace,0.052734375
oracle_outcome,2,unstructured,0.08203125
oracle_outcome,2,wrong_layer,0.4453125
oracle_outcome,2,probe_subspace,0.06640625
oracle_outcome,2,probe_wrong_layer,0.05859375
oracle_outcome,3,oracle_slot,1.0
oracle_outcome,3,random_subspace,0.0703125
oracle_outcome,3,unstructured,0.072265625
oracle_outcome,3,wrong_layer,0.46875
oracle_outcome,3,probe_subspace,0.08203125
oracle_outcome,3,probe_wrong_layer,0.0625
oracle_outcome,4,oracle_slot,1.0
oracle_outcome,4,random_subspace,0.06640625
oracle_outcome,4,unstructured,0.0625
oracle_outcome,4,wrong_layer,0.5078125
oracle_outcome,4,probe_subspace,0.05859375
oracle_outcome,4,probe_wrong_layer,0.0625
oracle_outcome,5,oracle_slot,1.0
oracle_outcome,5,random_subspace,0.12890625
oracle_outcome,5,unstructured,0.0625
oracle_outcome,5,wrong_layer,0.119140625
oracle_outcome,5,probe_subspace,0.0625
oracle_outcome,5,probe_wrong_layer,0.068359375
