task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
boolean_circuit_8,outcome,,2001,8000,0.3414001166820526,0.087,,,1.0
boolean_circuit_8,rho=0.30,0.3,2001,8000,0.30157405138015747,0.076,0.005,0.15325,0.9975
boolean_circuit_8,rho=0.50,0.5,2001,8000,0.25569677352905273,0.1315,0.0495,0.3120625,0.9995
boolean_circuit_8,rho=0.80,0.8,2001,8000,0.13310503959655762,0.385,0.3325,0.6145625,0.995
boolean_circuit_8,rho=0.85,0.85,2001,8000,0.09582992643117905,0.554,0.529,0.775375,0.999
boolean_circuit_8,rho=0.90,0.9,2001,8000,0.05943534895777702,0.7935,0.7845,0.932875,0.9995
boolean_circuit_8,rho=0.95,0.95,2001,8000,0.027788659557700157,0.8865,0.882,0.9646875,0.999
boolean_circuit_8,rho=1.00,1.0,2001,8000,0.006056909449398518,0.9125,0.909,0.9758125,0.9995
