task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
boolean_circuit_8,outcome,,2001,8000,0.34126830101013184,0.087,,,1.0
boolean_circuit_8,outcome,,2026,8000,0.3425666093826294,0.0905,,,1.0
boolean_circuit_8,rho=0.30,0.3,2001,8000,0.30307745933532715,0.0615,0.007,0.1598125,0.9975
boolean_circuit_8,rho=0.30,0.3,2026,8000,0.30322355031967163,0.0745,0.006,0.1190625,0.9985
boolean_circuit_8,rho=0.50,0.5,2001,8000,0.25768187642097473,0.118,0.044,0.299,0.998
boolean_circuit_8,rho=0.50,0.5,2026,8000,0.24477405846118927,0.1455,0.06,0.333875,0.999
boolean_circuit_8,rho=0.80,0.8,2001,8000,0.13069041073322296,0.382,0.333,0.61425,0.9965
boolean_circuit_8,rho=0.80,0.8,2026,8000,0.10350557416677475,0.763,0.751,0.8940625,0.9995
boolean_circuit_8,rho=0.85,0.85,2001,8000,0.09816290438175201,0.5565,0.5305,0.774875,0.9995
boolean_circuit_8,rho=0.85,0.85,2026,8000,0.07448401302099228,0.8235,0.809,0.931875,0.999
boolean_circuit_8,rho=0.90,0.9,2001,8000,0.060413800179958344,0.794,0.788,0.9364375,1.0
boolean_circuit_8,rho=0.90,0.9,2026,8000,0.06055872142314911,0.783,0.762,0.8970625,1.0
boolean_circuit_8,rho=0.95,0.95,2001,8000,0.030947595834732056,0.867,0.864,0.9526875,0.9995
boolean_circuit_8,rho=0.95,0.95,2026,8000,0.02177678793668747,0.8685,0.8515,0.9544375,1.0
boolean_circuit_8,rho=1.00,1.0,2001,8000,0.005076130852103233,0.905,0.8985,0.96825,0.998
boolean_circuit_8,rho=1.00,1.0,2026,8000,0.005908085498958826,0.915,0.8995,0.9739375,1.0
