example_id,all_local_correct,min_margin,mean_margin,product_gold_prob16,free_exact_trace,free_exact_state_rollout
0,0,-0.14564764499664307,5.917179655891232,0.2062058635537926,0,0
1,0,-0.0005021095275878906,4.611782278957435,0.17082475766718236,0,0
2,0,-0.5114960372447968,5.215333959414693,0.2254712134387211,0,0
3,1,1.844562292098999,4.7923616626503645,0.5090403132700043,1,1
4,1,0.39629554748535156,3.6495104333444033,0.1805679092646113,1,1
5,0,-1.9287246465682983,3.744066168244899,0.04463869231136457,0,0
6,1,0.0031667351722717285,4.693083212312558,0.21112983326417492,1,1
7,1,1.7500836998224258,6.432927199244659,0.629936426918566,1,1
8,1,3.368194103240967,7.281964615402558,0.7748636693835738,1,1
9,1,0.625,5.80325309807813,0.35178966048317634,1,1
10,1,0.43893539905548096,5.685279207029453,0.4101511077954645,1,1
11,1,2.500049166381359,5.233395169256255,0.650120599902035,1,1
12,1,3.624197255820036,5.251673377089901,0.808337092702436,1,1
13,1,2.5446617007255554,8.254412221675182,0.6871187066116111,1,1
14,1,1.3729033470153809,5.51852486117059,0.6029803072369845,1,1
15,0,-0.24910718202590942,5.476079388497055,0.2895518856195835,1,1
16,1,2.0982616096735,5.201158573554494,0.5841488624853732,1,1
17,1,0.39127659797668457,4.814409647649882,0.3364533678713703,1,1
18,1,0.5000000596046448,5.680604753742955,0.3818237414856351,1,1
19,1,1.2006499767303467,5.467258030059384,0.365438824959654,1,1
20,1,2.874999850988388,6.1289605762449355,0.7018995116891118,1,1
21,1,0.3747347593307495,3.394965680432506,0.0871189519088293,1,1
22,1,3.6745925843715668,7.345123204093852,0.8189894682029888,1,1
23,1,3.132295846939087,4.855990711432241,0.6742606975895803,1,1
24,1,2.220577299594879,7.258202469734897,0.6502328174984222,1,1
25,0,0.0,4.0182718726946405,0.31197127288241816,1,1
26,1,0.7087084054946899,6.038697323625456,0.4881665141804084,1,1
27,1,1.3750000298023224,6.893699165033922,0.6359783124568287,1,1
28,0,-0.2465795874595642,5.186796798590876,0.2652520664184327,0,0
29,1,1.6036972999572754,7.430620216774059,0.6829133667728319,1,1
30,0,-0.8919241428375244,6.748603313893909,0.23950204387203292,0,0
31,1,0.7534728348255157,4.278593860202818,0.4032666199482871,1,1
32,1,2.0429339706897736,7.385401326555666,0.6698642597237907,1,1
33,1,0.5481992363929749,7.475765331511866,0.3605534768724998,0,0
34,1,2.124999761581421,6.168798669506941,0.5006308501458132,1,1
35,1,1.0516932606697083,6.723609760758336,0.5786862734045259,1,1
36,1,1.0069443583488464,5.5386097947339294,0.4432146256697134,1,1
37,1,3.547062247991562,6.259753583399288,0.7260184490548264,1,1
38,1,0.3749999403953552,4.000776156535721,0.10954075686236439,1,1
39,0,-0.0003235340118408203,5.125201881370231,0.39321287000392074,1,1
40,0,-0.32421064376831055,4.881227756592125,0.07247508800982443,1,1
41,1,0.7500368356704712,7.215761495915103,0.5268282457166602,1,1
42,1,0.6848199367523193,5.998891746930894,0.45847328989746067,1,1
43,1,0.48266705870628357,3.6908295313478447,0.4092485706655368,1,1
