example_id,all_local_correct,min_margin,mean_margin,product_gold_prob16,free_exact_trace,free_exact_state_rollout
0,1,2.0000001192092896,6.158417699245547,0.48304756604807897,1,1
1,1,1.858865737915039,5.953670878370758,0.4223177404521664,1,1
2,1,1.4998868107795715,5.65517358049965,0.5966196189776332,1,1
3,1,1.020017385482788,6.261470240660856,0.4653334466269267,0,0
4,0,-1.4788941740989685,5.68115622291225,0.0852870619973639,0,0
5,0,-1.026426374912262,5.812962428823084,0.1768278635989904,0,0
6,1,0.24517810344696045,4.8664895053425425,0.26617557941935244,1,1
7,0,-0.12486934661865234,6.73036281952227,0.37424645480125474,1,1
8,1,3.1249998807907104,7.158156335809508,0.7777334002976536,1,1
9,0,0.0,6.661220733382834,0.4245152884234491,1,1
10,1,0.8034510016441345,7.111949460098913,0.5770446663650625,1,1
11,1,0.625017374753952,5.767649980243732,0.548225660061647,1,1
12,1,3.929960712790489,6.457369505827955,0.8806767713775081,1,1
13,1,3.0848344564437866,9.743764114920054,0.8160533616375241,1,1
14,1,1.04084512591362,6.000729953508198,0.5772690893339584,1,1
15,1,2.9891088902950287,7.571777461468173,0.7597164232504742,1,1
16,1,3.971094787120819,8.258732163109016,0.8548828372326203,1,1
17,1,0.6365947127342224,6.886145684905387,0.5516529375911584,0,0
18,1,1.7500001192092896,7.074984458243762,0.6522320754325782,1,1
19,1,0.9976037442684174,7.544523603903144,0.43716880496946514,1,1
20,1,2.777635380625725,6.786359059653478,0.7781357224947357,1,1
21,1,0.6248038113117218,4.397778788326832,0.25997148747164883,1,1
22,1,2.9999999403953552,6.6675259263465705,0.833368574899048,1,1
23,0,-0.8747332692146301,5.044806765403337,0.16664450532348166,0,0
24,1,3.059015043079853,7.923368952658052,0.8645327295393878,1,1
25,1,2.000000149011612,5.90682025179558,0.7541950533606695,1,1
26,1,0.791824460029602,6.648566816681523,0.5772861385614656,1,1
27,1,2.2500002086162567,8.697417891085934,0.8018239687163179,1,1
28,1,3.8356401175260544,7.25028364800346,0.8503776120829748,1,1
29,1,0.3749934434890747,6.421456469297937,0.39771900844953106,1,1
30,0,-1.1418891549110413,6.735416854124196,0.11623165501275562,0,0
31,1,1.5001926273107529,5.272564144263015,0.5812912153501993,1,1
32,1,2.7173184752464294,8.232167178286318,0.803332433445369,1,1
33,1,0.37379705905914307,7.506135960134543,0.39756402268081803,1,1
34,1,1.7499999701976776,6.375522543319676,0.6007766469264224,1,1
35,1,2.122718036174774,5.901114303091163,0.7237249376516173,1,1
36,1,0.6974791288375854,5.715697602063301,0.4310130903468254,1,1
37,1,4.471588999032974,7.747696413301128,0.8708837267297542,1,1
38,1,1.000112146139145,5.437036781500865,0.26709936823659,1,1
39,1,0.24986499547958374,6.002803228007906,0.4452484975269502,1,1
40,1,0.375,6.080535837174466,0.22215047933739843,1,1
41,1,2.8749999403953552,7.456614244879347,0.7687418862784662,1,1
42,1,0.7327288389205933,7.055772112147679,0.5068664251078718,1,1
43,1,0.8751513659954071,5.089386382536759,0.5350954389232938,1,1
44,1,1.088809460401535,5.286531387886498,0.4524587360371251,1,1
45,1,5.122219108045101,8.245842743538105,0.9279398765921908,1,1
46,0,-0.3650438189506531,6.254325026000515,0.22976961569471166,1,1
47,0,-1.2500397264957428,4.122923285191064,0.08430008582338294,0,0
48,1,0.07525640726089478,5.070827971674589,0.33755252804751423,0,0
49,1,0.7994874119758606,6.0601375745191035,0.3271880645878458,1,1
50,1,4.510874897241592,8.81499629507016,0.9230896880288882,1,1
51,1,1.0449382662773132,7.9200224764715585,0.592792006674231,1,1
52,0,-0.14868777990341187,7.392321948964536,0.33981006352565535,0,0
53,1,0.7337036728858948,8.85780748965044,0.4785267966618735,1,1
54,1,4.390668503940105,7.503499939620269,0.907567848629326,1,1
55,1,2.500092163681984,6.33666261624785,0.802722954076824,0,0
56,1,1.7604538202285767,7.744237264987078,0.6519509668317933,1,1
57,1,1.3934295773506165,5.787890715517278,0.5030546619490524,1,1
58,1,2.87953120470047,7.49770574092372,0.8044797104121266,1,1
59,1,0.885672003030777,4.798375985542407,0.41826836513993126,1,1
60,0,-0.6248149275779724,4.305749947641743,0.057138839851643156,0,0
61,1,0.1466149091720581,5.54038150679844,0.27050429540522025,0,0
62,1,0.8699968457221985,7.885014977493256,0.5582560129414381,1,1
63,1,0.680439829826355,7.648769008740601,0.4782098218299569,1,1
64,1,2.963543862104416,9.616955423525042,0.775470020101396,1,1
65,1,1.875000238418579,5.820560768772339,0.6180274652081444,1,1
66,0,-0.12503015995025635,5.730946937178032,0.26763502752116497,0,0
67,1,0.07975661754608154,4.603026265091103,0.2012063673336652,0,0
68,1,3.4995596576482058,7.752887110728807,0.9166752689391775,1,1
69,1,0.43044447898864746,7.30330474213315,0.4182686775455952,1,1
70,1,1.7768647074699402,5.6000969875476585,0.5757057110792969,1,1
71,1,1.5024238228797913,4.624639928311808,0.49386891990757636,1,1
72,1,0.5050052106380463,5.935524124346557,0.29329629556309444,1,1
73,0,-0.11912178993225098,8.194942902896514,0.3217664397126637,0,0
74,1,3.1327744126319885,9.220590745631625,0.8069296764804624,1,1
75,1,2.6249788850545883,6.280680851628858,0.762689733574116,1,1
76,1,1.7138874977827072,6.432313020252423,0.7352672877041292,1,1
77,1,0.5565764904022217,7.133922668824198,0.39548056601174175,1,1
78,1,1.0000957548618317,6.4421886795366845,0.5204218427356112,1,1
79,1,0.5337232947349548,6.3224717277043965,0.5282854012555005,1,1
80,1,1.757676973938942,6.845437466563453,0.7147390156830449,1,1
81,1,2.5089664459228516,6.010032755730208,0.7344139645872674,1,1
82,1,0.8502030372619629,5.6038043031185225,0.492165405913636,1,1
