task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
boolean_circuit_8,rho=0.50,0.5,2001,8000,0.2409134805202484,0.168,0.09,0.385,1.0
boolean_circuit_8,rho=0.50,0.5,2002,8000,0.2716880142688751,0.074,0.008,0.1785,0.998
boolean_circuit_8,rho=0.50,0.5,2003,8000,0.2616518437862396,0.086,0.012,0.18425,0.998
boolean_circuit_8,rho=0.70,0.7,2001,8000,0.17203736305236816,0.336,0.29,0.601,1.0
boolean_circuit_8,rho=0.70,0.7,2002,8000,0.17080192267894745,0.244,0.188,0.4755,1.0
boolean_circuit_8,rho=0.70,0.7,2003,8000,0.1592867076396942,0.246,0.188,0.45675,1.0
boolean_circuit_8,rho=0.80,0.8,2001,8000,0.12182845175266266,0.706,0.694,0.856,1.0
boolean_circuit_8,rho=0.80,0.8,2002,8000,0.13700678944587708,0.306,0.258,0.56725,1.0
boolean_circuit_8,rho=0.80,0.8,2003,8000,0.09768711030483246,0.65,0.616,0.7825,1.0
boolean_circuit_8,rho=0.90,0.9,2001,8000,0.06810004264116287,0.776,0.776,0.895,1.0
boolean_circuit_8,rho=0.90,0.9,2002,8000,0.09015242010354996,0.608,0.564,0.80975,1.0
boolean_circuit_8,rho=0.90,0.9,2003,8000,0.07860095798969269,0.762,0.708,0.87275,1.0
boolean_circuit_8,rho=1.00,1.0,2001,8000,0.0015987696824595332,0.924,0.922,0.97225,1.0
boolean_circuit_8,rho=1.00,1.0,2002,8000,0.005779594648629427,0.824,0.8,0.9205,1.0
boolean_circuit_8,rho=1.00,1.0,2003,8000,0.001906421734020114,0.886,0.868,0.94425,1.0
