task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
boolean_circuit_4,rho=0.50,0.5,2001,8000,0.22292257845401764,0.392,0.35,0.602,1.0
boolean_circuit_4,rho=0.50,0.5,2002,8000,0.21997512876987457,0.356,0.328,0.6155,1.0
boolean_circuit_4,rho=0.50,0.5,2003,8000,0.24469737708568573,0.184,0.106,0.3715,1.0
boolean_circuit_4,rho=0.70,0.7,2001,8000,0.15629424154758453,0.646,0.642,0.7995,1.0
boolean_circuit_4,rho=0.70,0.7,2002,8000,0.1474906951189041,0.644,0.648,0.812,1.0
boolean_circuit_4,rho=0.70,0.7,2003,8000,0.18037843704223633,0.324,0.278,0.514,1.0
boolean_circuit_4,rho=0.80,0.8,2001,8000,0.11021549254655838,0.744,0.736,0.8515,1.0
boolean_circuit_4,rho=0.80,0.8,2002,8000,0.10497836768627167,0.796,0.796,0.9,1.0
boolean_circuit_4,rho=0.80,0.8,2003,8000,0.13106375932693481,0.476,0.452,0.6815,1.0
boolean_circuit_4,rho=0.90,0.9,2001,8000,0.07037115097045898,0.906,0.904,0.957,1.0
boolean_circuit_4,rho=0.90,0.9,2002,8000,0.06273885071277618,0.888,0.888,0.948,1.0
boolean_circuit_4,rho=0.90,0.9,2003,8000,0.07502951472997665,0.656,0.654,0.8005,1.0
boolean_circuit_4,rho=1.00,1.0,2001,8000,0.002795742591843009,0.95,0.954,0.9805,1.0
boolean_circuit_4,rho=1.00,1.0,2002,8000,0.00048437368241138756,0.98,0.978,0.9935,1.0
boolean_circuit_4,rho=1.00,1.0,2003,8000,0.004721207544207573,0.884,0.876,0.927,1.0
