model,layer,method,counterfactual_accuracy
oracle_outcome,0,oracle_slot,1.0
oracle_outcome,0,random_subspace,0.0546875
oracle_outcome,0,unstructured,0.12109375
oracle_outcome,0,wrong_layer,0.4765625
oracle_outcome,0,probe_subspace,0.0703125
oracle_outcome,0,probe_wrong_layer,0.064453125
oracle_outcome,1,oracle_slot,1.0
oracle_outcome,1,random_subspace,0.0703125
oracle_outcome,1,unstructured,0.10546875
oracle_outcome,1,wrong_layer,0.3828125
oracle_outcome,1,probe_subspace,0.080078125
oracle_outcome,1,probe_wrong_layer,0.083984375
oracle_outcome,2,oracle_slot,1.0
oracle_outcome,2,random_subspace,0.05078125
oracle_outcome,2,unstructured,0.103515625
oracle_outcome,2,wrong_layer,0.4453125
oracle_outcome,2,probe_subspace,0.078125
oracle_outcome,2,probe_wrong_layer,0.064453125
oracle_outcome,3,oracle_slot,1.0
oracle_outcome,3,random_subspace,0.064453125
oracle_outcome,3,unstructured,0.1015625
oracle_outcome,3,wrong_layer,0.515625
oracle_outcome,3,probe_subspace,0.076171875
oracle_outcome,3,probe_wrong_layer,0.080078125
oracle_outcome,4,oracle_slot,1.0
oracle_outcome,4,random_subspace,0.06640625
oracle_outcome,4,unstructured,0.083984375
oracle_outcome,4,wrong_layer,0.453125
oracle_outcome,4,probe_subspace,0.107421875
oracle_outcome,4,probe_wrong_layer,0.06640625
oracle_outcome,5,oracle_slot,1.0
oracle_outcome,5,random_subspace,0.05078125
oracle_outcome,5,unstructured,0.064453125
oracle_outcome,5,wrong_layer,0.46875
oracle_outcome,5,probe_subspace,0.064453125
oracle_outcome,5,probe_wrong_layer,0.0625
oracle_outcome,6,oracle_slot,1.0
oracle_outcome,6,random_subspace,0.041015625
oracle_outcome,6,unstructured,0.0625
oracle_outcome,6,wrong_layer,0.359375
oracle_outcome,6,probe_subspace,0.0625
oracle_outcome,6,probe_wrong_layer,0.0625
oracle_outcome,7,oracle_slot,1.0
oracle_outcome,7,random_subspace,0.0625
oracle_outcome,7,unstructured,0.0625
oracle_outcome,7,wrong_layer,0.083984375
oracle_outcome,7,probe_subspace,0.0625
oracle_outcome,7,probe_wrong_layer,0.1171875
