condition,trace_fraction,depth,seed,probe_step,step,free_answer_acc,gamma_hat,eps_rule_hat,rule_recovery,credit_mean,credit_max,state_on_set_mass,skip_readout,delta_comp_tv,delta_comp_gold,product_answer_acc,model_answer_acc,answer_on_set_mass,exponent_target,exponent_fit_conditional,exponent_r2_conditional,credit_by_lambda_conditional,eps_by_lambda_conditional,exponent_fit_proportional,exponent_r2_proportional,credit_by_lambda_proportional,eps_by_lambda_proportional,eps_step_std,table_step_tv,background_eps_std,background_table_tv,eps_rule_by_step,composition,probe_seconds
both,0.5,8,2001,1,0,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9420694958228151,0.9420694958228152,1.0,0.0,4.625312490369114e-06,7,,,,,,,,,0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,0.9
both,0.5,8,2001,2,0,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9420694958228151,0.9420694958228152,1.0,0.0,4.625312490369114e-06,7,,,,,,,,,0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,0.9
both,0.5,8,2001,3,0,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9420694958228151,0.9420694958228152,1.0,0.0,4.625312490369114e-06,7,,,,,,,,,0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,0.9
both,0.5,8,2001,4,0,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9420694958228151,0.9420694958228152,1.0,0.0,4.625312490369114e-06,7,,,,,,,,,0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,0.9
both,0.5,8,2001,5,0,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9420694958228151,0.9420694958228152,1.0,0.0,4.625312490369114e-06,7,,,,,,,,,0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,0.9
both,0.5,8,2001,6,0,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9420694958228151,0.9420694958228152,1.0,0.0,4.625312490369114e-06,7,,,,,,,,,0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,0.9
both,0.5,8,2001,7,0,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9420694958228151,0.9420694958228152,1.0,0.0,4.625312490369114e-06,7,,,,,,,,,0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,0.9
both,0.5,8,2001,8,0,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9420694958228151,0.9420694958228152,1.0,0.0,4.625312490369114e-06,7,,,,,,,,,0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,0.9
both,0.5,8,2001,1,100,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9400561602530506,0.9400561602530506,1.0,0.0,0.02482150343326276,7,6.421520686062091,0.9898864363191383,"{""1"": 0.9375000000074998, ""0.5"": 0.11070110701107014, ""0.25"": 0.0009153178441213713, ""0.125"": 7.1525509781679715e-06, ""0.0625"": 5.5879354281772327e-08, ""0.03125"": 4.365574568450499e-10}","{""1"": 1.0000000000000009, ""0.5"": 0.5000000000000004, ""0.25"": 0.2500000000000002, ""0.125"": 0.1250000000000001, ""0.0625"": 0.06250000000000006, ""0.03125"": 0.03125000000000003}",6.421520686062091,0.9898864363191383,"{""1"": 0.9375000000074998, ""0.5"": 0.11070110701107014, ""0.25"": 0.0009153178441213713, ""0.125"": 7.1525509781679715e-06, ""0.0625"": 5.5879354281772327e-08, ""0.03125"": 4.365574568450499e-10}","{""1"": 1.0000000000000009, ""0.5"": 0.5000000000000004, ""0.25"": 0.2500000000000002, ""0.125"": 0.1250000000000001, ""0.0625"": 0.06250000000000006, ""0.03125"": 0.03125000000000003}",0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,2.4
both,0.5,8,2001,2,100,0.0,0.0,1.0000000000000009,1.0,0.9375000000074998,0.9375000000075001,1.0,True,0.9400561602530506,0.9400561602530506,1.0,0.0,0.02482150343326276,7,6.421520686062091,0.9898864363191383,"{""1"": 0.9375000000074998, ""0.5"": 0.11070110701107014, ""0.25"": 0.0009153178441213713, ""0.125"": 7.1525509781679715e-06, ""0.0625"": 5.5879354281772327e-08, ""0.03125"": 4.365574568450499e-10}","{""1"": 1.0000000000000009, ""0.5"": 0.5000000000000004, ""0.25"": 0.2500000000000002, ""0.125"": 0.1250000000000001, ""0.0625"": 0.06250000000000006, ""0.03125"": 0.03125000000000003}",6.421520686062091,0.9898864363191383,"{""1"": 0.9375000000074998, ""0.5"": 0.11070110701107014, ""0.25"": 0.0009153178441213713, ""0.125"": 7.1525509781679715e-06, ""0.0625"": 5.5879354281772327e-08, ""0.03125"": 4.365574568450499e-10}","{""1"": 1.0000000000000009, ""0.5"": 0.5000000000000004, ""0.25"": 0.2500000000000002, ""0.125"": 0.1250000000000001, ""0.0625"": 0.06250000000000006, ""0.03125"": 0.03125000000000003}",0.0,0.0,0.0,0.0,"{""1"": 1.0000000000000009, ""2"": 1.0000000000000009, ""3"": 1.0000000000000009, ""4"": 1.0000000000000009, ""5"": 1.0000000000000009, ""6"": 1.0000000000000009, ""7"": 1.0000000000000009, ""8"": 1.0000000000000009}",per_step,2.4
